Name,reading,time
HBR.VEY657202_02.PZ.X,33.5703621,3:39:23 AM
HBR.VEY657202_02.PZ.X,33.52153,3:39:30 AM
HBR.VEY657202_02.PZ.X,34.44319,3:39:33 AM
HBR.VEY657202_02.PZ.X,34.5408478,3:39:37 AM
HBR.VEY657202_02.PZ.X,34.2051468,3:39:43 AM
HBR.VEY657202_02.PZ.X,34.1563148,3:39:53 AM
HBR.VEY657202_02.PZ.X,33.61919,3:39:57 AM
HBR.VEY657202_02.PZ.X,35.0718727,3:40:03 AM
HBR.VEY657202_02.PZ.X,34.24787,3:40:07 AM
HBR.VEY657202_02.PZ.X,35.6089973,3:40:13 AM
HBR.VEY657202_02.PZ.X,35.36485,3:40:20 AM
HBR.VEY657202_02.PZ.X,35.1207,3:40:27 AM
HBR.VEY657202_02.PZ.X,34.8826561,3:40:33 AM
HBR.VEY657202_02.PZ.X,34.39436,3:40:40 AM
HBR.VEY657202_02.PZ.X,35.5113373,3:40:43 AM
HBR.VEY657202_02.PZ.X,34.833828,3:40:47 AM
HBR.VEY657202_02.PZ.X,35.16953,3:40:57 AM
HBR.VEY657202_02.PZ.X,35.1207,3:41:03 AM
HBR.VEY657202_02.PZ.X,35.6578255,3:41:13 AM
HBR.VEY657202_02.PZ.X,34.784996,3:41:17 AM
HBR.VEY657202_02.PZ.X,35.7554855,3:41:23 AM
HBR.VEY657202_02.PZ.X,35.16953,3:41:27 AM
HBR.VEY657202_02.PZ.X,34.24787,3:41:33 AM
HBR.VEY657202_02.PZ.X,35.5113373,3:41:37 AM
HBR.VEY657202_02.PZ.X,35.6578255,3:41:43 AM
HBR.VEY657202_02.PZ.X,35.1207,3:41:47 AM
HBR.VEY657202_02.PZ.X,36.04236,3:41:53 AM
HBR.VEY657202_02.PZ.X,36.4818268,3:42:03 AM
HBR.VEY657202_02.PZ.X,36.81753,3:42:07 AM
HBR.VEY657202_02.PZ.X,37.3485527,3:42:13 AM
HBR.VEY657202_02.PZ.X,37.54387,3:42:17 AM
HBR.VEY657202_02.PZ.X,36.04236,3:42:23 AM
HBR.VEY657202_02.PZ.X,36.14002,3:42:27 AM
HBR.VEY657202_02.PZ.X,37.39738,3:42:33 AM
HBR.VEY657202_02.PZ.X,36.23768,3:42:37 AM
HBR.VEY657202_02.PZ.X,37.4462128,3:42:43 AM
HBR.VEY657202_02.PZ.X,37.5927,3:42:47 AM
HBR.VEY657202_02.PZ.X,37.3058243,3:42:53 AM
HBR.VEY657202_02.PZ.X,37.49504,3:43:03 AM
HBR.VEY657202_02.PZ.X,37.4462128,3:43:07 AM
HBR.VEY657202_02.PZ.X,36.18885,3:43:13 AM
HBR.VEY657202_02.PZ.X,36.5733833,3:43:23 AM
HBR.VEY657202_02.PZ.X,36.33534,3:43:27 AM
HBR.VEY657202_02.PZ.X,37.49504,3:43:33 AM
HBR.VEY657202_02.PZ.X,38.6608467,3:43:40 AM
HBR.VEY657202_02.PZ.X,38.2213821,3:43:43 AM
HBR.VEY657202_02.PZ.X,38.7585068,3:43:47 AM
HBR.VEY657202_02.PZ.X,39.14304,3:43:53 AM
HBR.VEY657202_02.PZ.X,37.3058243,3:43:57 AM
HBR.VEY657202_02.PZ.X,39.33836,3:44:03 AM
HBR.VEY657202_02.PZ.X,39.09421,3:44:07 AM
HBR.VEY657202_02.PZ.X,38.1298256,3:44:13 AM
HBR.VEY657202_02.PZ.X,39.6801643,3:44:17 AM
HBR.VEY657202_02.PZ.X,39.09421,3:44:23 AM
HBR.VEY657202_02.PZ.X,38.51436,3:44:27 AM
HBR.VEY657202_02.PZ.X,39.6313362,3:44:33 AM
HBR.VEY657202_02.PZ.X,39.14304,3:44:37 AM
HBR.VEY657202_02.PZ.X,39.6801643,3:44:43 AM
HBR.VEY657202_02.PZ.X,39.7228928,3:44:47 AM
HBR.VEY657202_02.PZ.X,38.8561668,3:44:53 AM
HBR.VEY657202_02.PZ.X,39.86938,3:45:03 AM
HBR.VEY657202_02.PZ.X,38.904995,3:45:07 AM
HBR.VEY657202_02.PZ.X,40.4065056,3:45:13 AM
HBR.VEY657202_02.PZ.X,38.27021,3:45:23 AM
HBR.VEY657202_02.PZ.X,39.14304,3:45:27 AM
HBR.VEY657202_02.PZ.X,39.6313362,3:45:33 AM
HBR.VEY657202_02.PZ.X,38.27021,3:45:37 AM
HBR.VEY657202_02.PZ.X,38.61202,3:45:43 AM
HBR.VEY657202_02.PZ.X,38.46553,3:45:47 AM
HBR.VEY657202_02.PZ.X,38.4167,3:45:53 AM
HBR.VEY657202_02.PZ.X,38.7585068,3:45:57 AM
HBR.VEY657202_02.PZ.X,39.8205528,3:46:03 AM
HBR.VEY657202_02.PZ.X,39.484848,3:46:13 AM
HBR.VEY657202_02.PZ.X,39.5825081,3:46:17 AM
HBR.VEY657202_02.PZ.X,39.7228928,3:46:23 AM
HBR.VEY657202_02.PZ.X,40.54689,3:46:27 AM
HBR.VEY657202_02.PZ.X,39.484848,3:46:33 AM
HBR.VEY657202_02.PZ.X,41.0351868,3:46:43 AM
HBR.VEY657202_02.PZ.X,41.181675,3:46:47 AM
HBR.VEY657202_02.PZ.X,41.56621,3:46:53 AM
HBR.VEY657202_02.PZ.X,40.79104,3:47:00 AM
HBR.VEY657202_02.PZ.X,41.1328468,3:47:07 AM
HBR.VEY657202_02.PZ.X,40.9375267,3:47:13 AM
HBR.VEY657202_02.PZ.X,41.51738,3:47:17 AM
HBR.VEY657202_02.PZ.X,41.663868,3:47:23 AM
HBR.VEY657202_02.PZ.X,41.08402,3:47:27 AM
HBR.VEY657202_02.PZ.X,41.95685,3:47:33 AM
HBR.VEY657202_02.PZ.X,41.181675,3:47:37 AM
HBR.VEY657202_02.PZ.X,41.08402,3:47:43 AM
HBR.VEY657202_02.PZ.X,41.0351868,3:47:47 AM
HBR.VEY657202_02.PZ.X,42.8235741,3:47:53 AM
HBR.VEY657202_02.PZ.X,43.79406,3:47:57 AM
HBR.VEY657202_02.PZ.X,43.5071869,3:48:03 AM
HBR.VEY657202_02.PZ.X,42.6343575,3:48:07 AM
